Moderna,Close,Gold,Close,Ethereum,Close,Bitcoin,Close,Crude Oil,Close,"Digital Realty Trust, Inc",Close,Nike,Close,"Overstock, Inc",Close
1/3/2022 16:00:00,235.05,1/3/2022 16:00:00,18.54,1/3/2022 17:26:00,5.33,1/3/2022 16:00:00,63.54,1/3/2022 16:00:00,63.54,1/3/2022 16:00:00,175.09,1/3/2022 16:00:00,164.67,1/3/2022 16:00:00,59.95
1/4/2022 16:00:00,233.06,1/4/2022 16:00:00,18.73,1/4/2022 17:26:00,5.26,1/4/2022 16:00:00,65.93,1/4/2022 16:00:00,65.93,1/4/2022 16:00:00,169.09,1/4/2022 16:00:00,166.39,1/4/2022 16:00:00,58.63
1/5/2022 16:00:00,215.23,1/5/2022 16:00:00,18.57,1/5/2022 17:26:00,5.28,1/5/2022 16:00:00,66.75,1/5/2022 16:00:00,66.75,1/5/2022 16:00:00,162.88,1/5/2022 16:00:00,162.25,1/5/2022 16:00:00,54.34
1/6/2022 16:00:00,216.06,1/6/2022 16:00:00,18.02,1/6/2022 17:26:00,5.12,1/6/2022 16:00:00,68.32,1/6/2022 16:00:00,68.32,1/6/2022 16:00:00,160.8,1/6/2022 16:00:00,161.04,1/6/2022 16:00:00,53.32
1/7/2022 16:00:00,213.86,1/7/2022 16:00:00,18.1,1/7/2022 17:26:00,5.06,1/7/2022 16:00:00,68.88,1/7/2022 16:00:00,68.88,1/7/2022 16:00:00,161.06,1/7/2022 16:00:00,156.97,1/7/2022 16:00:00,53.4
1/10/2022 16:00:00,233.7,1/10/2022 16:00:00,18.62,1/10/2022 17:26:00,4.92,1/10/2022 16:00:00,68.47,1/10/2022 16:00:00,68.47,1/10/2022 16:00:00,159.24,1/10/2022 16:00:00,150.44,1/10/2022 16:00:00,52.53
1/11/2022 16:00:00,221.39,1/11/2022 16:00:00,18.86,1/11/2022 17:26:00,4.95,1/11/2022 16:00:00,71.35,1/11/2022 16:00:00,71.35,1/11/2022 16:00:00,159.03,1/11/2022 16:00:00,150.3,1/11/2022 16:00:00,55.37
1/12/2022 16:00:00,222.89,1/12/2022 16:00:00,19.2,1/12/2022 17:26:00,5.11,1/12/2022 16:00:00,71.14,1/12/2022 16:00:00,71.14,1/12/2022 16:00:00,158.95,1/12/2022 16:00:00,152.21,1/12/2022 16:00:00,53.76
1/13/2022 16:00:00,210.17,1/13/2022 16:00:00,18.83,1/13/2022 17:26:00,5.13,1/13/2022 16:00:00,70.63,1/13/2022 16:00:00,70.63,1/13/2022 16:00:00,157.62,1/13/2022 16:00:00,149.59,1/13/2022 16:00:00,51.41
1/14/2022 16:00:00,204.73,1/14/2022 16:00:00,18.68,1/14/2022 17:26:00,5.02,1/14/2022 16:00:00,71.87,1/14/2022 16:00:00,71.87,1/14/2022 16:00:00,155.88,1/14/2022 16:00:00,148.18,1/14/2022 16:00:00,49.15
1/18/2022 16:00:00,186.61,1/18/2022 16:00:00,18.56,1/17/2022 17:26:00,5.13,1/18/2022 16:00:00,73.08,1/18/2022 16:00:00,73.08,1/18/2022 16:00:00,155.87,1/18/2022 16:00:00,146.95,1/18/2022 16:00:00,47.04
1/19/2022 16:00:00,174.07,1/19/2022 16:00:00,20.17,1/18/2022 17:26:00,5.08,1/19/2022 16:00:00,73.11,1/19/2022 16:00:00,73.11,1/19/2022 16:00:00,154.93,1/19/2022 16:00:00,145.11,1/19/2022 16:00:00,46.45
1/20/2022 16:00:00,167.52,1/20/2022 16:00:00,19.91,1/19/2022 17:26:00,5.06,1/20/2022 16:00:00,73.27,1/20/2022 16:00:00,73.27,1/20/2022 16:00:00,155.4,1/20/2022 16:00:00,142.73,1/20/2022 16:00:00,44.64
1/21/2022 16:00:00,160.07,1/21/2022 16:00:00,19.34,1/20/2022 17:26:00,5.19,1/21/2022 16:00:00,72.17,1/21/2022 16:00:00,72.17,1/21/2022 16:00:00,154.95,1/21/2022 16:00:00,142.95,1/21/2022 16:00:00,40.86
1/24/2022 16:00:00,157.3,1/24/2022 16:00:00,19.37,1/21/2022 17:26:00,5.06,1/24/2022 16:00:00,72.79,1/24/2022 16:00:00,72.79,1/24/2022 16:00:00,153.91,1/24/2022 16:00:00,146,1/24/2022 16:00:00,43.12
1/25/2022 16:00:00,152.54,1/25/2022 16:00:00,19.49,1/24/2022 17:26:00,4.77,1/25/2022 16:00:00,74.93,1/25/2022 16:00:00,74.93,1/25/2022 16:00:00,152.67,1/25/2022 16:00:00,145.48,1/25/2022 16:00:00,41.29
1/26/2022 16:00:00,154.96,1/26/2022 16:00:00,19.03,1/25/2022 17:26:00,4.68,1/26/2022 16:00:00,74.17,1/26/2022 16:00:00,74.17,1/26/2022 16:00:00,147.73,1/26/2022 16:00:00,143.99,1/26/2022 16:00:00,39.8
1/27/2022 16:00:00,148.62,1/27/2022 16:00:00,18.71,1/26/2022 17:26:00,4.9,1/27/2022 16:00:00,75.12,1/27/2022 16:00:00,75.12,1/27/2022 16:00:00,145.26,1/27/2022 16:00:00,144.64,1/27/2022 16:00:00,39.26
1/28/2022 16:00:00,159.47,1/28/2022 16:00:00,18.56,1/27/2022 17:26:00,5.02,1/28/2022 16:00:00,75.28,1/28/2022 16:00:00,75.28,1/28/2022 16:00:00,148.88,1/28/2022 16:00:00,145.91,1/28/2022 16:00:00,43.09
1/31/2022 16:00:00,169.33,1/31/2022 16:00:00,19.15,1/28/2022 17:26:00,4.94,1/31/2022 16:00:00,75.96,1/31/2022 16:00:00,75.96,1/31/2022 16:00:00,149.23,1/31/2022 16:00:00,148.07,1/31/2022 16:00:00,47.94
2/1/2022 16:00:00,172.74,2/1/2022 16:00:00,19.09,1/31/2022 17:26:00,4.97,2/1/2022 16:00:00,80.83,2/1/2022 16:00:00,80.83,2/1/2022 16:00:00,147.74,2/1/2022 16:00:00,148.22,2/1/2022 16:00:00,50
2/2/2022 16:00:00,169.61,2/2/2022 16:00:00,19.22,2/1/2022 17:26:00,5.03,2/2/2022 16:00:00,80.62,2/2/2022 16:00:00,80.62,2/2/2022 16:00:00,149.23,2/2/2022 16:00:00,148.71,2/2/2022 16:00:00,47.16
2/3/2022 16:00:00,163.95,2/3/2022 16:00:00,19.06,2/2/2022 17:26:00,5.09,2/3/2022 16:00:00,79.68,2/3/2022 16:00:00,79.68,2/3/2022 16:00:00,147,2/3/2022 16:00:00,145.31,2/3/2022 16:00:00,45.94
2/4/2022 16:00:00,163.01,2/4/2022 16:00:00,19.19,2/3/2022 17:26:00,4.96,2/4/2022 16:00:00,81.41,2/4/2022 16:00:00,81.41,2/4/2022 16:00:00,145.16,2/4/2022 16:00:00,145.39,2/4/2022 16:00:00,49.53
2/7/2022 16:00:00,160.27,2/7/2022 16:00:00,19.58,2/4/2022 17:26:00,4.94,2/7/2022 16:00:00,82.39,2/7/2022 16:00:00,82.39,2/7/2022 16:00:00,146.05,2/7/2022 16:00:00,145.14,2/7/2022 16:00:00,49.72
2/8/2022 16:00:00,153.31,2/8/2022 16:00:00,19.82,2/7/2022 17:26:00,4.85,2/8/2022 16:00:00,80.26,2/8/2022 16:00:00,80.26,2/8/2022 16:00:00,143.58,2/8/2022 16:00:00,143.53,2/8/2022 16:00:00,52.86
2/9/2022 16:00:00,164.03,2/9/2022 16:00:00,19.73,2/8/2022 17:26:00,4.79,2/9/2022 16:00:00,79,2/9/2022 16:00:00,79,2/9/2022 16:00:00,146.92,2/9/2022 16:00:00,146.26,2/9/2022 16:00:00,52.88
2/10/2022 16:00:00,160.42,2/10/2022 16:00:00,19.3,2/9/2022 17:26:00,4.9,2/10/2022 16:00:00,78.24,2/10/2022 16:00:00,78.24,2/10/2022 16:00:00,140.21,2/10/2022 16:00:00,144.82,2/10/2022 16:00:00,49.89
2/11/2022 16:00:00,161.32,2/11/2022 16:00:00,20.68,2/10/2022 17:26:00,4.87,2/11/2022 16:00:00,80.21,2/11/2022 16:00:00,80.21,2/11/2022 16:00:00,136.29,2/11/2022 16:00:00,140.18,2/11/2022 16:00:00,47.76
2/14/2022 16:00:00,142.47,2/14/2022 16:00:00,21.09,2/11/2022 17:26:00,4.87,2/14/2022 16:00:00,78.98,2/14/2022 16:00:00,78.98,2/14/2022 16:00:00,136.14,2/14/2022 16:00:00,141.59,2/14/2022 16:00:00,47.31
2/15/2022 16:00:00,151.12,2/15/2022 16:00:00,20.68,2/14/2022 17:26:00,4.79,2/15/2022 16:00:00,77.99,2/15/2022 16:00:00,77.99,2/15/2022 16:00:00,136.53,2/15/2022 16:00:00,145.58,2/15/2022 16:00:00,49.96
2/16/2022 16:00:00,151.81,2/16/2022 16:00:00,22.23,2/15/2022 17:26:00,4.93,2/16/2022 16:00:00,78.35,2/16/2022 16:00:00,78.35,2/16/2022 16:00:00,134.6,2/16/2022 16:00:00,146.49,2/16/2022 16:00:00,45.33
2/17/2022 16:00:00,146.36,2/17/2022 16:00:00,23.23,2/16/2022 17:26:00,4.97,2/17/2022 16:00:00,78.23,2/17/2022 16:00:00,78.23,2/17/2022 16:00:00,137.76,2/17/2022 16:00:00,142.8,2/17/2022 16:00:00,42.15
2/18/2022 16:00:00,145.74,2/18/2022 16:00:00,23.14,2/17/2022 17:26:00,4.92,2/18/2022 16:00:00,77.36,2/18/2022 16:00:00,77.36,2/18/2022 16:00:00,135.2,2/18/2022 16:00:00,142.95,2/18/2022 16:00:00,39.71
2/22/2022 16:00:00,144.97,2/22/2022 16:00:00,22.76,2/18/2022 17:26:00,4.85,2/22/2022 16:00:00,76.46,2/22/2022 16:00:00,76.46,2/22/2022 16:00:00,136,2/22/2022 16:00:00,138.19,2/22/2022 16:00:00,36.45
2/23/2022 16:00:00,135.73,2/23/2022 16:00:00,22.83,2/21/2022 17:26:00,4.82,2/23/2022 16:00:00,76.77,2/23/2022 16:00:00,76.77,2/23/2022 16:00:00,132.23,2/23/2022 16:00:00,136.83,2/23/2022 16:00:00,44.77
2/24/2022 16:00:00,156.23,2/24/2022 16:00:00,22.54,2/22/2022 17:26:00,4.79,2/24/2022 16:00:00,75.8,2/24/2022 16:00:00,75.8,2/24/2022 16:00:00,134.34,2/24/2022 16:00:00,137.17,2/24/2022 16:00:00,53.01
