Moderna,Close,Gold,Close,Ethereum,Close,Bitcoin,Close,Crude Oil,Close,"Digital Realty Trust, Inc",Close,Nike,Close,"Overstock, Inc",Close
1/2/2020 16:00:00,19.23,1/2/2020 16:00:00,18.49,1/2/2020 17:26:00,8.76,1/2/2020 16:00:00,0.12,1/2/2020 16:00:00,70.9,1/2/2020 16:00:00,118,1/2/2020 16:00:00,102.2,1/2/2020 16:00:00,7.04
1/3/2020 16:00:00,18.89,1/3/2020 16:00:00,18.57,1/3/2020 17:26:00,8.59,1/3/2020 16:00:00,0.12,1/3/2020 16:00:00,70.33,1/3/2020 16:00:00,119.94,1/3/2020 16:00:00,101.92,1/3/2020 16:00:00,7.21
1/6/2020 16:00:00,18.13,1/6/2020 16:00:00,18.39,1/6/2020 17:26:00,8.31,1/7/2020 16:00:00,0.12,1/6/2020 16:00:00,70.87,1/6/2020 16:00:00,118.86,1/6/2020 16:00:00,101.83,1/6/2020 16:00:00,8.2
1/7/2020 16:00:00,17.78,1/7/2020 16:00:00,18.47,1/7/2020 17:26:00,8.38,1/8/2020 16:00:00,0.12,1/7/2020 16:00:00,70.29,1/7/2020 16:00:00,117.69,1/7/2020 16:00:00,101.78,1/7/2020 16:00:00,8.07
1/8/2020 16:00:00,17.98,1/8/2020 16:00:00,17.82,1/8/2020 17:26:00,8.21,1/10/2020 16:00:00,0.06,1/8/2020 16:00:00,69.23,1/8/2020 16:00:00,118.71,1/8/2020 16:00:00,101.55,1/8/2020 16:00:00,7.89
1/9/2020 16:00:00,18.4,1/9/2020 16:00:00,17.6,1/9/2020 17:26:00,8.32,1/13/2020 16:00:00,0.06,1/9/2020 16:00:00,69.76,1/9/2020 16:00:00,118.72,1/9/2020 16:00:00,101.48,1/9/2020 16:00:00,8.12
1/10/2020 16:00:00,19.14,1/10/2020 16:00:00,17.85,1/10/2020 17:26:00,8.19,1/14/2020 16:00:00,0.06,1/10/2020 16:00:00,69.14,1/10/2020 16:00:00,120.37,1/10/2020 16:00:00,100.9,1/10/2020 16:00:00,8.14
1/13/2020 16:00:00,20.26,1/13/2020 16:00:00,17.45,1/13/2020 17:26:00,8.21,1/15/2020 16:00:00,0.06,1/13/2020 16:00:00,69.8,1/13/2020 16:00:00,121.97,1/13/2020 16:00:00,102.16,1/13/2020 16:00:00,8
1/14/2020 16:00:00,20,1/14/2020 16:00:00,17.56,1/14/2020 17:26:00,8.06,1/16/2020 16:00:00,0.06,1/14/2020 16:00:00,69.2,1/14/2020 16:00:00,120.75,1/14/2020 16:00:00,102.92,1/14/2020 16:00:00,8.81
1/15/2020 16:00:00,20.24,1/15/2020 16:00:00,17.9,1/15/2020 17:26:00,7.98,1/17/2020 16:00:00,0.12,1/15/2020 16:00:00,69.09,1/15/2020 16:00:00,120.99,1/15/2020 16:00:00,102.79,1/15/2020 16:00:00,8.6
